miRNA genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mmu-miR-190a-5p,1.8664790279661732,-1.6526683886054483,1.5860181492141618,-1.0420236296944712,0.2974007237006041,0.9978624094514408
mmu-miR-3473g,0.6040890276667515,-1.6287330849996768,2.9444592191141186,-0.5531518570291845,0.5801594298495492,0.9978624094514408
mmu-miR-320-5p,0.6040890276667515,-1.6287330849996768,2.9444592191141186,-0.5531518570291845,0.5801594298495492,0.9978624094514408
mmu-miR-3099-5p,5.049166635081098,-1.5417231645601783,1.0471660426988818,-1.4722814737065621,0.14094488402227537,0.9978624094514408
mmu-miR-7662-3p,2.555699371583995,-1.532219790853765,1.483063064889903,-1.0331454050253157,0.3015358575420828,0.9978624094514408
mmu-miR-328-5p,1.142917526328944,-1.4840028686045048,2.1600448231138727,-0.6870241083540106,0.4920675363443958,0.9978624094514408
mmu-miR-7685-3p,1.4250964316961863,-1.482606449494238,1.9256796194158663,-0.7699133513932968,0.4413512934444819,0.9978624094514408
mmu-miR-208a-5p,0.9631102833121842,-1.4729502355498585,2.2743448813742937,-0.6476371493226721,0.5172196637715893,0.9978624094514408
mmu-miR-145b,3.4060518235607087,-1.4552923991325122,1.3696723993194004,-1.062511298216754,0.28800363165128096,0.9978624094514408
mmu-miR-467h,4.718887878533068,-1.4396823627293485,1.0904055685370457,-1.3203182414602979,0.186728787726952,0.9978624094514408
mmu-miR-6959-3p,2.4077383492891227,-1.4383694081753053,1.4619250712869483,-0.983887229534338,0.3251709633946325,0.9978624094514408
mmu-miR-1231-3p,4.9384418924209745,-1.402609906882137,1.051865901325292,-1.333449354252217,0.18238438519614986,0.9978624094514408
mmu-miR-6990-5p,1.9066142143609408,-1.4023527610960407,1.598475404752337,-0.8773064364498726,0.3803202171677704,0.9978624094514408
mmu-miR-7063-3p,2.901037234774865,-1.3998127303246486,1.3178178047664468,-1.062220228973711,0.28813571845725283,0.9978624094514408
mmu-miR-291a-5p,0.5501458852527399,-1.378966192457394,3.296540946101717,-0.4183070118052296,0.6757226637011442,0.9978624094514408
mmu-miR-466n-3p,0.5501458852527399,-1.378966192457394,3.296540946101717,-0.4183070118052296,0.6757226637011442,0.9978624094514408
mmu-miR-7061-5p,0.5814586223544796,-1.376882403607195,3.2368368036241977,-0.4253790002837145,0.6705604119530455,0.9978624094514408
mmu-miR-7068-5p,0.6269882355309302,-1.3740717274784657,3.162080324911451,-0.43454674969932783,0.6638914542391121,0.9978624094514408
mmu-miR-1927,1.5131814505822492,-1.356843577044608,1.7669595176789141,-0.7678973759551457,0.44254815650245727,0.9978624094514408
mmu-miR-8105,3.234130861638451,-1.2943116696067456,1.346272748175194,-0.9614037507341073,0.33634919912906536,0.9978624094514408
mmu-miR-7093-3p,6.950640956157508,-1.279141625463353,0.919095355160328,-1.3917398431854962,0.16400119238386934,0.9978624094514408
mmu-miR-3109-3p,0.544217974850909,-1.267843478430204,3.084845971693164,-0.4109908533729251,0.6810792415909621,0.9978624094514408
mmu-miR-669l-5p,2.81268753482056,-1.2638148057633556,1.368717539937533,-0.9233569154239339,0.3558212365518161,0.9978624094514408
mmu-miR-494-5p,1.4274574869672352,-1.2435605276959005,1.9158561698939658,-0.6490886671125872,0.5162810665851773,0.9978624094514408
mmu-miR-6539,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-12193-3p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7045-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7091-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-1893,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-3077-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-207,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-669d-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7078-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7665-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7009-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6967-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7237-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7032-5p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-1197-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-18b-3p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6995-5p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-467f,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6973b-3p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7065-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7026-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7006-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6931-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7212-5p,0.17934352678632023,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-465a-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7007-5p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-692,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6924-5p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7664-5p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-5615-5p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-7673-3p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-1271-3p,0.21658417428989094,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
mmu-miR-6905-3p,0.1538839821037367,-1.2385003764726732,4.429191618588123,-0.27962221622451844,0.7797673606783313,0.9978624094514408
