miRNA genes,Control1,Control2,Control3,High1,High2,High3
mmu-miR-3084-5p,3,0,3,8,3,6
mmu-miR-103-1-5p,6,0,1,2,3,7
mmu-miR-6911-3p,6,2,4,3,7,10
mmu-miR-3086-5p,26,17,8,13,22,24
mmu-miR-3083b-5p,29,27,10,16,20,21
mmu-miR-152-5p,9,9,6,1,7,18
mmu-miR-7093-3p,12,9,7,0,7,8
mmu-miR-664-5p,94,72,37,60,64,76
mmu-miR-495-5p,16,5,14,12,26,18
mmu-miR-7662-3p,6,4,1,3,0,1
mmu-miR-540-3p,74,98,64,64,92,165
mmu-miR-1964-3p,67,47,44,39,45,70
mmu-miR-28a-3p,126,103,94,129,153,192
mmu-miR-3079-5p,1,0,0,0,0,0
mmu-miR-130b-3p,38,22,25,27,41,42
mmu-miR-344d-3-5p,67,62,40,68,73,118
mmu-miR-466g,15,17,13,15,17,25
mmu-miR-7032-3p,7,2,3,5,3,8
mmu-miR-135b-5p,106,58,122,107,169,154
mmu-miR-218-2-3p,26,41,22,10,58,26
mmu-miR-3076-3p,16,15,14,6,9,13
mmu-miR-377-3p,33,42,56,36,37,87
mmu-miR-652-5p,8,8,2,3,7,4
mmu-miR-365-1-5p,3,2,10,5,5,5
mmu-miR-7651-5p,27,8,5,5,16,11
mmu-miR-6962-3p,18,13,7,12,13,20
mmu-miR-296-3p,92,114,46,49,71,136
mmu-miR-185-3p,103,126,57,69,98,136
mmu-miR-1969,11,9,8,12,18,35
mmu-miR-7063-5p,7,7,1,5,6,5
mmu-miR-3061-3p,41,35,30,31,39,35
mmu-miR-3070-3p,1,0,0,0,0,0
mmu-miR-30d-3p,37,16,32,29,28,79
mmu-miR-486b-5p,211,1793,2677,109,1289,3690
mmu-miR-6952-3p,6,2,4,8,1,2
mmu-miR-3057-5p,25,16,14,8,9,23
mmu-miR-669o-3p,68,157,2,31,79,177
mmu-miR-31-3p,16,12,20,12,42,49
mmu-miR-539-5p,77,64,44,63,60,72
mmu-miR-1197-3p,13,23,9,8,14,47
mmu-miR-6937-3p,4,3,1,3,3,6
mmu-miR-205-5p,42,34,40,49,35,47
mmu-miR-505-3p,9,9,9,2,9,19
mmu-miR-3065-3p,96,91,72,76,127,103
mmu-miR-3083b-3p,21,12,20,24,24,69
mmu-miR-7013-5p,8,0,2,0,0,3
mmu-miR-467a-5p,109,162,101,89,136,309
mmu-miR-193a-5p,38,41,32,29,38,24
mmu-miR-541-3p,35,18,18,19,23,45
mmu-miR-7220-5p,12,13,10,10,14,17
mmu-miR-6982-3p,16,19,8,5,26,15
mmu-miR-6989-3p,28,21,26,27,25,24
mmu-miR-7224-3p,58,42,22,17,39,47
mmu-miR-666-3p,18,36,20,28,29,41
mmu-miR-5620-5p,25,27,22,20,27,12
mmu-miR-150-3p,45,34,26,40,32,33
mmu-miR-7659-5p,5,1,5,1,2,5
mmu-miR-450a-5p,66,47,39,53,76,153
mmu-miR-381-5p,98,101,90,89,123,116
mmu-miR-7037-5p,3,2,3,3,5,7
mmu-miR-181d-3p,33,26,17,30,21,31
mmu-let-7f-1-3p,95,63,69,64,85,106
mmu-miR-344f-3p,20,46,19,18,21,61
mmu-miR-3072-5p,2,3,4,6,5,1
mmu-miR-10b-5p,68,47,161,113,157,147
mmu-miR-23b-5p,61,35,32,30,28,39
mmu-miR-223-3p,47,40,23,54,62,54
mmu-miR-122-5p,13,24,22,24,23,16
mmu-miR-5620-3p,7,7,2,1,7,7
mmu-miR-3067-5p,1,7,0,2,4,5
mmu-miR-219a-1-3p,5,4,6,0,15,6
mmu-miR-3071-3p,63,41,56,63,44,124
mmu-miR-194-2-3p,9,8,5,6,20,5
mmu-miR-669k-5p,6,1,2,0,0,3
mmu-miR-34b-5p,55,77,79,25,278,6
mmu-miR-218-1-3p,39,17,21,19,31,38
mmu-miR-380-5p,76,109,48,56,182,197
mmu-miR-7231-5p,6,9,2,8,14,3
mmu-miR-8120,5,3,6,4,9,7
mmu-miR-1195,26,35,14,8,21,18
mmu-miR-376a-3p,5,15,5,11,11,14
mmu-miR-7235-3p,21,12,9,19,18,18
mmu-miR-96-5p,10,8,20,16,13,20
mmu-miR-6899-3p,7,9,11,8,4,10
mmu-miR-148a-5p,33,22,14,9,14,50
mmu-miR-3083-5p,59,55,46,89,78,73
mmu-miR-140-5p,108,96,112,101,272,200
mmu-miR-10a-5p,90,66,96,93,101,137
mmu-miR-505-5p,32,53,39,26,42,68
mmu-miR-410-5p,18,12,5,15,12,38
